country,year,inflation_period_average,wb_unemployment_rate,min_wage_monthly,informal_employment_rate,working_poverty_rate,cpi_rank,cpi_score,education_level,employment_rate,gdp_growth,net_migration,political_stability,rule_of_law,epi_score,gpi_rank,gpi_score,happiness_score,social_support_score,ilo_unemployment_rate,hdi_score,avg_education_length,life_expectancy,uk_imports,uk_exports,real_gdp_growth,gdp_current_usd,fdi_net_outflows_pct_gdp,fdi_net_inflows_pct_gdp,gdp_per_capita_current_usd,Inflation_Period_Average,asylum_applications,EPS,SSS,GRS,MRI,ESS,HCM,DTR,MWI,MOS
Brazil,2012,5.4,5.067,372.723,45.142,2.009,69,43,11.96000004,59.739,1.921175986,-179707,0.045961641,-0.076932795,469,96,2.143,6.782,1.363464117050171,7.251,0.732,7.215769768,73.552,3271,4477,-3.478824014,2.46523E+12,0.084505969,3.754962856,12521.72135,5.4,24,0.54174223,0.447645199,0.491591838,0.669335868,0.386423204,0.342335766,0.014483325,0.247722657,0.147009787
Brazil,2013,6.2,4.975,375.636,44.144,0.905,72,42,12.63000011,59.766,3.004822669,-157228,-0.258553296,-0.092045203,501,109,2.186,6.849,1.363464117050171,7.071,0.75,7.287489891,73.918,3836,4447,-3.195177331,2.47282E+12,0.63261809,3.041509016,12458.89121,6.2,24,0.538768042,0.410654185,0.507751769,0.713563359,0.388762377,0.371153,0.015599281,0.258479035,0.140144503
Brazil,2014,6.3,4.711,376.71,44.837,0.578,69,43,13.15999985,59.714,0.50395574,-145732,-0.070290133,-0.05296576,500,108,2.164,6.892,1.363464117050171,6.755,0.753,7.379069805,74.306,3614,4085,-5.79604426,2.45604E+12,0.839026343,3.57135267,12274.99397,6.3,21,0.522723865,0.407891756,0.519941995,0.680378666,0.369490545,0.377394434,0.014669256,0.253826027,0.134448919
Brazil,2015,9,6.043,372.769,45.041,1.048,76,38,13.56000042,58.787,-3.545763393,-173611,-0.331864446,-0.187332958,510,120,2.234,6.983,1.363464117050171,8.538,0.752,7.506820202,74.332,3463,4019,-12.54576339,1.80221E+12,0.173896122,3.592149318,8936.196618,9,23,0.571191536,0.468778483,0.511358824,0.756326323,0.310660232,0.394418481,0.014244666,0.239750482,0.165720527
Brazil,2016,8.7,8.213,384.133,36.911,1.718,79,40,15.35000038,56.845,-3.275916908,-92989,-0.38103506,-0.201301992,507,129,2.358,6.952,1.363464117050171,11.58,0.753,7.731040001,74.442,3264,3370,-11.97591691,1.79569E+12,0.818262251,4.137378039,8836.286526,8.7,42,0.602760089,0.536967775,0.48162039,0.753113728,0.293139158,0.409297042,0.012964904,0.238443188,0.182158451
Brazil,2017,3.4,9.276,393.789,38.194,2.198,96,37,15.72999954,56.271,1.322869054,-156296,-0.479947567,-0.305428565,519,128,2.422,6.635,1.363464117050171,12.792,0.758,7.851759911,74.827,3237,3287,-2.077130946,2.06351E+12,1.034182606,3.338259817,10080.50928,3.4,34,0.633452953,0.549589086,0.443667731,0.794627557,0.357894667,0.427245759,0.012682866,0.265914503,0.183769225
Brazil,2018,3.7,8.926,406.83,38.691,2.228,105,35,16.54000092,56.549,1.783666762,-230334,-0.459598511,-0.302342951,509,131,2.47,6.419,1.363464117050171,12.329,0.762,7.982019901,75.109,3261,3572,-1.916333238,1.91693E+12,0.105614994,4.078588214,9300.661649,3.7,70,0.641825638,0.540432739,0.417466173,0.802702913,0.362144815,0.429862303,0.01323395,0.268386848,0.186719395
Brazil,2019,3.7,8.679,426.588,38.913,2.348,106,35,17.978433434195267,57.142,1.220777824,-129216,-0.714224637,-0.224319816,501,135,2.575,6.3,1.363464117050171,11.936,0.764,8.128813955,75.338,3398,3897,-2.479222176,1.87329E+12,1.218157699,3.692673213,9029.833267,3.7,208,0.659276763,0.539431019,0.385068752,0.823665824,0.364699976,0.435197329,0.013942671,0.271252864,0.194011949
Brazil,2020,3.2,10.364,445.834,36.73,2.553,94,38,18.918924672183948,52.195,-3.276758796,-78437,-0.44689092,-0.231919765,490,136,2.568,6.3755998611450195,1.363464117050171,13.697,0.758,8.278307638,74.009,2908,3279,-6.476758796,1.47611E+12,-0.234891709,2.592637953,7074.193783,3.2,199,0.661225437,0.594976465,0.386980699,0.775878933,0.280903002,0.438548078,0.011843711,0.243740554,0.208742442
Brazil,2021,8.3,10.077,449.005,38.276,2.661,96,38,19.85941591,54.238,4.762604379,-208581,-0.419879764,-0.301417381,497,135,2.558,6.330100059509277,0.9439684152603148,13.158,0.756,8.278307638,72.75,3291,3228,-3.537395621,1.67065E+12,0.972038153,2.779790849,7972.53665,8.3,146,0.650292176,0.552569304,0.382884793,0.781387123,0.324769796,0.443657567,0.012645894,0.260331717,0.19498023
